okres,obec,cintorín,národnosť,dôvodÚmrtia,dátumÚmrtia,početHrobov,početPochovaných,GPS
Štúrovo,Štúrovo,gréckokatolícky,"15 čs.
2 maď.
11 poľ.
4 neznámi
","z toho 7 zastrel. v boji zastrelení
na choleru
z toho 2 boľ. zastrel.
","6/1919
6/1919
6/1915
6/1919
",27,27,47.797458 18.715868
Štúrovo,Štúrovo,židovský,"1 slov.
1 poľ.
",-,-,2,2,47.797458 18.715868
Štúrovo,Salka,miestny obecný,"1 domáci
1 maď.
","zastrelený pri obci
","5/1919
",2,2,47.94238 18.741757
Štúrovo,Šarkan,obecný,"domáci
",-,-,1,1,47.85812 18.5605
Štúrovo,Veľké Ludince,obecný,"6 domáci
3 neznámi
","z toho 2 tal leg. zast.
","1919
",7,7,47.963932 18.502873
Štúrovo,Veľké Ludince,reformovaný obecný,"domáci
",-,-,2,2,47.963932 18.502873
Piešťany,Dolný Lopašov,katolícky obecný,"2 domáci
1 rus.
",-,-,3,3,48.589121 17.633155
Piešťany,Drahovce,katolícky obecný,"domáci
",-,-,1,1,48.525703 17.784694
Piešťany,Nižná,katolícky obecný,"rus.
",-,-,1,1,48.527949 17.653441
Piešťany,Piešťany,katolícky evanjelický obecný,"23 čs.
5 nez.
3 tal.
5 juh
8 maď.
2 rak
2 nem.
4 poľ.
5 rum
",-,-,57,57,48.589167 17.834167
Piešťany,Piešťany,-,"domáci
",-,-,4,4,48.589167 17.834167
Piešťany,Piešťany,židovský,"4 slov.
1 rum.
",-,-,5,5,48.589167 17.834167
Piešťany,Stráže,obecný,"domáci
",-,-,4,4,48.64743 17.14302
Piešťany,Šterusy,obecný,"rus.
",-,-,1,1,48.608507 17.675149
Piešťany,Tapkové,katolícky obecný,"domáci
",-,-,1,1,48.536237 17.730763
Poprad,Gerlachov,spoločný obecný,"3 čs.
1 maď.
2 rum.
1 juh.
",-,-,-,-,49.096956 20.206088
Poprad,Lučivná,spoločný obecný,"domáci
",-,-,2,2,49.04625 20.147358
Poprad,Matejovce,obecný,"1 juh.
1 rus.
1 poľ.
",-,-,3,3,48.907938 20.676643
Poprad,Nová Lesná,spoločný obecný,"4 čs.
6 juh.
1 rus.
2 poľ.
19 maď.
1 rak.
11 rum.
","okrem 1 všetci zomreli na pľúcnu chorobu
",-,44,44,49.127333 20.267628
Poprad,Poprad,katolícky obecný,"4 čes.
5 poľ.
","z toho 3 v boji
","6/1919
",9,9,49.056944 20.304722
Poprad,Poprad,evanjelický obecný,"domáci
",-,-,2,2,49.056944 20.304722
Poprad,Poprad,židovský spolkový,"2 maď.
2 poľ.
",-,-,4,4,49.056944 20.304722
Poprad,Spišská Sobota,obecný,"11 čs.
3 juh.
1 rus.
1 poľ.
1 tal.
1 nem.
2 rak.
3 rum.
13 neznámi
",-,-,36,36,48.980802 20.345763
Poprad,Stráža,obecný,"1 domáci
1 poľ.
",-,-,2,2,49.228529 18.910622
Poprad,Veľká,katolícky obecný,"3 čs.
",-,-,3,3,48.154512 17.365452
Poprad,Veľký Slavkov,spoločný obecný,"1 maď.
2 neznámi
",-,-,3,3,49.100283 20.263592
Poprad,Vyšná Šuňava,katolícky obecný,"domáci
",-,-,1,1,49.173678 19.332287
Považská Bystrica,Domaniža,katolícky obecný,"juh.
",-,-,1,1,49.030686 18.549637
Považská Bystrica,Klieština,obecný,"domáci
",-,-,1,1,49.183167 18.346491
Považská Bystrica,Popradno,katolícky obecný,"domáci
",-,-,1,1,49.22985 18.41104
Považská Bystrica,Považská Bystrica,katolícky obecný,"2 čes.
2 rus.
",-,-,4,4,49.115932 18.446994
Prievidza,Bystričany,obecný,"1 lot.
1 rus.
2 nez.
","zomreli prirodzenou
smrťou
",-,4,4,48.640992 18.556148
Prievidza,Dvorníky nad Nitrou,katolícky obecný,"domáci
",-,-,1,1,48.472535 19.078826
Prievidza,Handlová,katolícky obecný,"4 domáci
1 rum.
",-,-,5,5,48.731432 18.762694
Prievidza,Handlová,-,"rus.
",-,-,2,2,48.731432 18.762694
Prievidza,Chvojnica,katolícky obecný,"domáci
",-,-,1,1,48.800141 17.406789
Prievidza,Nitrianske Rudno,-,"21 rum.
2 rus.
","zomreli na týfus
internovaní zajatci
","4/1917
",21,21,48.793145 18.456662
Prievidza,Nováky,obecný,"čes.
","samovražda
","7/1919
",1,1,48.716447 18.54083
Prievidza,Oslany,obecný,"rus.
",-,-,1,1,48.61599 18.515694
Prievidza,Prievidza,katolícky obecný,"čes.
","úkladná vražda
","3/1919
",1,2,48.773056 18.622222
Prievidza,Roztočno,katolícky obecný,"domáci
",-,-,2,2,48.76942 18.75556
Prievidza,Sučany,katolícky obecný,"domáci
",-,-,2,2,49.126185 18.985965
Prievidza,Tužina,katolícky obecný,"domáci
",-,-,2,2,48.922797 18.56953
Prievidza,Vrbany,katolícky obecný,"domáci
",-,-,1,1,48.685801 21.87693
Púchov,Červený Kameň,katolícky obecný,"domáci
",-,-,3,3,49.107062 18.145897
Púchov,Dohňany,katolícky obecný,"1 domáci
1 rus.
",-,-,2,2,49.170316 18.297543
Púchov,Hornia Breznica,katolícky obecný,"domáci
",-,-,2,2,48.674724 18.905371
Púchov,Horovce,obecný,"rus.
",-,-,1,1,49.049377 18.25975
Púchov,Lednica,katolícky obecný,"domáci
",-,-,3,3,49.114272 18.201088
Púchov,Lazy pod Makytou,katolícky obecný,"domáci
","1 zomrel doma
vplyvom alkoholu
","2/1919
",2,2,49.247136 18.222713
Púchov,Lednické Rovné,obecný,"domáci
",-,-,2,2,49.07366 18.27303
Púchov,Luky,katolícky obecný,"čes.
",-,-,1,1,49.190671 18.220668
Púchov,Nimnica,katolícky obecný,"maď.
",-,-,1,1,49.1456 18.355426
Púchov,Pruské,obecný,"čes.
",-,-,1,1,49.030004 18.211768
Púchov,Púchov,katolícky obecný,"3 čes.
1 domáci
",-,-,4,4,49.125 18.330278
Púchov,Púchov,židovský obecný,"slov.
",-,-,1,1,49.125 18.330278
Prešov,Prešov,vojenský epidemický,"156 čs.
81 juh.
29 rus.
89 poľ.
23 tal.
79 maď.
111 rak.
60 rum.
45 neznámi
","takmer všetci zomreli na choleru
týfus
",-,173,673,49.001667 21.24
Prešov,Prešov,evanjelický obecný,"4 čs.
8 maď.
2 nem.
1 poľ.
1 rum.
1 juh.
1 neznámy
",-,-,18,18,49.001667 21.24
Prešov,Prešov,židovský,"1 slov.
2 maď
2 poľ.
1 rak.
2 rum.
1 rus.
",-,-,11,11,49.001667 21.24
Prešov,Prešov,židovský ortodoxný,"7 čs.
1 maď.
2 nem.
8 poľ.
1 neznámy
",-,-,17,17,49.001667 21.24
Prešov,Rokycany,katolícky obecný,"maď.
","padli v boji pri obci
","6/1919
",2,2,48.961423 21.136019
Prešov,Sedlice,katolícky obecný,"maď.
","padli v boji pri obci
","6/1919
",2,2,48.918023 21.112063
Prešov,Solivar,katolícky obecný,"slov.
",-,-,1,1,49.150763 18.58226
Prešov,Svinia,obecný,"maď.
rus.  žid
",-,-,-,-,49.024614 21.106904
Prešov,Široké,obecný,"neznámy
","padol v boji pri obci
","6/1919
",1,1,49.002766 20.918598
Prešov,Veľký Šariš,obecný,"1 čs.
1 juh.
2 maď.
7 poľ.
1 rus.
",-,-,9,9,49.05 21.2
Prešov,Veľký Šariš,židovský,"poľ.
",-,-,2,2,49.05 21.2
Prešov,Žipov,katolícky obecný,"2 maď.
1 neznámy
","padli v boji pri obci
padol v boji pri obci
","6/1919
6/1919
",3,3,48.964041 21.078186
Prešov,Prešov,katolícky obecný,"142 čs.
10 tal.
60 maď.
1 nem.
114 poľ.
33 rak.
63 rum.
95 rus.
62 juh.
62 neznámi
","padli v boji
ostatní zomreli v zálož. nemocnici v Prešove
","6/1919
",642,642,49.001667 21.24
Prešov,Petroviany,obecný,"poľ.
",-,-,1,1,48.990017 21.462852
Prešov,Obyšovce,obecný,"neznámi
","padli v boji
","11/6/1919
",7,7,48.86166 21.23514
Prešov,Nem. Jakubovany,katolícky obecný,"2 čes.
8 nez.
","padli v boji pri obci
","6/1919
",10,10,48.99114 21.00059
Prešov,Miklušovice,gréckokatolícky,"1 čes.
1 maď.
","padol v boji padol v boji
","6/1919
6/1919
",2,2,48.9168 21.08164
Prešov,Lemešany,obecný,"čes.
","nešťastnou náhodou
","1919
",1,1,48.842183 21.263059
Prešov,Lada,obecný,"maď.
",-,-,1,1,49.045531 21.36087
Prešov,Kapušany,katolícky,"2 čes.
2 poľ.
1 neznámy
",-,"1914
",1,2,49.046804 21.322922
Prešov,Križoviany,obecný,"2 neznámi
","padli v boji pri obci
","6/1919
",1,2,48.32492 17.65649
Prešov,Chmiňany,obecný,"neznámi
","padli v boji
","6/1919
",4,4,48.999241 21.073989
Prešov,Fričovce,obecný,"čes.
","padol v boji
","6/1919
",1,1,49.015426 20.964908
Prešov,Hrabkov,obecný,"neznámy
","padol v boji pri obci
",-,1,1,48.951685 21.021443
Prešov,Fintice,obecný,"domáci
",-,-,1,1,49.05785 21.278667
Prešov,Drienovská Nová Ves,katolícky obecný,"rak.
",-,-,1,1,48.903415 21.233985
Prešov,Bzenov,obecný,"domáci
",-,-,1,1,48.958429 21.162005
Revúca,Hucín,spoločný obecný,"1 čes.
","padol v boji pri obci
","6/1919
",2,2,48.570419 20.299542
Revúca,Jelšava,obecný,"12 čs.
3 poľ.
1 juh.
3 maď.
2 rak.
3 rum.
1 rus.
6 neznámi
",-,-,31,31,48.627958 20.240298
Revúca,Kameňany,spoločný,"1 čes.
","zastrelený pri obci
","6/1919
",3,3,48.57543 20.173752
Revúca,Lubeník,evanjelický,"čes.
",-,-,1,1,48.653799 20.179173
Revúca,Muráň,obecný,"1 dom.
2 rus.
",-,-,3,3,48.748737 20.027712
Revúca,Rákoš,obecný,"domáci
",-,-,3,3,48.639261 21.429603
Revúca,Razková,evanjelický obecný,"1 domáci
1 maď.
",-,-,2,2,49.4426 18.73386
Revúca,Ratkovské Bystré,obecný,"domáci
",-,-,1,1,48.665948 20.038439
Revúca,Široký Železník,-,"2 poľ.
1 rum.
1 rus.
",-,-,4,4,48.631281 20.120405
Revúca,Turčok,obecný,"domáci
",-,-,2,2,48.638873 20.144662
Rimavská Sobota,Babinec,obecný,"domáci
",-,-,1,1,48.524666 20.000796
Rimavská Sobota,Čerenčany,evanjelický,"domáci
",-,-,2,2,48.409106 19.998598
Rimavská Sobota,Hnúšťa,židovský obecný,"neznámy
","ťažké zranenie
","6/1919
",1,1,48.578704 19.953189
Rimavská Sobota,Hnúšťa,katolícky,"maď.
","zranenie v boji
","6/1919
",1,1,48.578704 19.953189
Rimavská Sobota,Hnúšťa,evanjelický obecný,"1 maď.
1 neznámy
","zastrelený
","6/1919
",2,2,48.578704 19.953189
Rimavská Sobota,Hostišovce,evanjelický,"domáci
",-,-,1,1,48.500682 20.121942
Rimavská Sobota,Klenovec,evanjelický,"3 domáci
1 tal.
",-,-,4,4,48.642904 19.82366
Rimavská Sobota,Kokava nad Rimavicou,obecný,"domáci
","1 zastrelený pri
rabovaní
",-,2,2,48.582675 19.817567
Rimavská Sobota,KokavaUtekáč nad Rimavicou,obecný,"1 domáci
1 slov.
",-,-,2,2,48.64394 19.64707
Rimavská Sobota,Kraskovo,evanjelický,"domáci
",-,-,1,1,48.501286 19.986355
Rimavská Sobota,Likier,obecný súkromný,"1 rum.
2 neznámi
2 maď.
","padli
","6/1919
6/1919
",5,5,48.956478 18.883136
Rimavská Sobota,Likier,evanjelický obecný,"domáci
",-,-,1,1,48.956478 18.883136
Rimavská Sobota,Lukovištia,obecný,"domáci
",-,-,1,1,48.483407 20.021931
Rimavská Sobota,Melecheď,evanjelický,"čes.
","zastrel. boľševikmi
","6/1919
",1,1,48.701801 18.136487
Rimavská Sobota,Poltár,spoločný,"domáci
",-,-,5,5,48.432222 19.793333
Rimavská Sobota,Rimavská Sobota,evanjelický obecný,"maď.
","po zranení
","7/1919
",1,1,48.383333 20.018333
Rimavská Sobota,Rimavské Brezovo,evanjelický obecný,"1 domáci
2 maď.
","na zranenie v boji
","6/1919
",3,3,48.539043 19.968938
Rimavská Sobota,Tisovec,mestský,"3 čs.
6 poľ.
1 maď.
1 rum.
15 neznámi
","padli v boji
padol padol
8 padlo v boji
","6/1919
6/1919
6/1919
6/1919
",13,13,48.681276 19.942063
Rimavská Sobota,Tisovec,evanjelický obecný,"domáci
",-,-,7,7,48.681276 19.942063
Rimavská Sobota,Veľké Teriakovce,evanjelický,"1 neznámy
10 poľ.
",-,-,11,11,48.429569 19.963071
Rimavská Sobota,Zlatno,obecný,"slov.
",-,-,1,1,48.516982 19.818892
Rimavská Sobota,Ožďany,spoločný obecný,"4 čes.
4 poľ.
","padli v boji pri Veľ. Dravciach
","5/1919
",6,6,48.377942 19.904099
Rimavská Sobota,Rimavská Sobota,mestský obecný,"12 čs.
3 tal..
21 maď.
57 poľ.
5 rak.
4 rus.
42 rum.
10 juh.
64 neznámi
",-,-,216,216,48.383333 20.018333
Rimavská Sobota,Rimavská Sobota,židovský,"1 čs.
9 poľ.
1 maď.
1 rum.
4 neznámi
","1 zastrelený
","5/1919
",16,16,48.383333 20.018333
Rimavská Sobota,Tomášovce,obecný,"2 domáci
1 rum.
",-,-,3,3,48.371243 19.619738
Rimavská Sobota,Zacharovce,evanjelický obecný,"1 domáci
",-,-,1,1,48.40754 20.058039
Rožňava,Betliar,obecný,"1 domáci
1 maď.
","na zranenie v boji
",-,2,2,48.723905 20.523816
Rožňava,Brzotín,evanjelický obecný,"1 domáci
1 čes.
","v boji
","1919
",2,2,48.6278 20.508213
Rožňava,Dobšiná,katolícky obecný,"1 čes.
","v boji
","6/1919
",2,2,48.821136 20.364912
Rožňava,Dobšiná,evanjelický,"domáci
","z toho 5 exhumov.
",-,7,7,48.821136 20.364912
Rožňava,Gočaltovo,evanjelický obecný,"domáci
",-,-,1,1,48.641964 20.322473
Rožňava,Harskut,obecný,"domáci
",-,-,1,1,48.626682 20.623309
Rožňava,Jolesz,obecný,"maď.
","zastrelený
","5/1919
",1,1,48.626213 20.54599
Rožňava,Pašková,obecný,"domáci
",-,-,1,1,48.589248 20.38475
Rožňava,Plešivec,obecný,"12 čs.
1 juh.
2 poľ.
3 rum.
8 maď.
20 neznámi
","4 čs. padli v boji
5 padli v boji
","6/1919
6/1919
",36,36,48.590228 20.428243
Rožňava,Rožňava,obecný,"16 čs.
3 juh.
4 poľ.
2 rum.
3 maď.
1nem.
10 neznámi
","6 čs. padlo v boji
1 prísl. robot. pluku
","6/1919
6/1919
",39,39,48.662778 20.533889
Rožňava,Rožňava,židovský obecný,"domáci
",-,-,1,1,48.662778 20.533889
Rožňava,Rožňavské Bystré,evanjelický obecný,"domáci
",-,-,1,1,48.670572 20.440736
Rožňava,Rudná,luteránsky obecný,"domáci
",-,-,1,1,48.665002 20.484494
Rožňava,Salovec,obecný,"nez.
tal. leg.
","padol v boji pri obci
","1919
",1,1,48.424814 17.524172
Rožňava,Silica,obecný,"10 čs.
1 maď.
2 neznámi
",-,-,13,13,48.567027 20.526362
Rožňava,Štítnik,spoločný,"4 domáci
1 poľ.
",-,-,5,5,48.656923 20.355609
Rožňava,Štítnik,židovský,"neznámy
","padol pri Štítniku
","6/1919
",1,1,48.656923 20.355609
Rožňava,Veľká Poloma,nový spoločný,"2 čes.
1 slov.
","padli v boji pri obci
","5/1919
",3,3,48.62968 19.16829
Rožňava,Veľká Poloma,-,"maď. boľ.
","padli v boji
","6/1919
",1,1,48.62968 19.16829
Ružomberok,Ružomberok,vojenský,"190 čs.
4 tal.
250 maď.
12 poľ.
15 rak.
44 rus.
160 rum.
119 juh.
1 tur.
79 neznámi
",-,-,874,874,49.081667 19.304444
Ružomberok,Ružomberok,židovský,"3 čs.
7 maď.
2 rum.
",-,-,-,-,49.081667 19.304444
Ružomberok,Ružomberok,mestský obecný,"1 slov.
1 čes.
33 neznámi
",-,-,35,35,49.081667 19.304444
Ružomberok,Bešeňová,obecný,"rum.
",-,-,1,1,49.114315 19.439063
Ružomberok,Černová,obecný,"domáci
",-,-,3,3,48.303727 19.930771
Ružomberok,Likavka,obecný,"1 slov.
1 rum.
",-,-,2,2,49.1101 19.295973
Ružomberok,Lipt. Štiavnica,obecný,"domáci
",-,-,1,1,48.80889 19.55539
Ružomberok,Lisková,obecný,"domáci
",-,-,7,7,49.105887 19.355244
Ružomberok,Ludrová,obecný,"domáci
",-,-,1,1,49.052048 19.325238
Ružomberok,Madočany,katolícky obecný,"rum.
",-,-,3,3,49.10802 19.40814
Ružomberok,Sliače,katolícky,"domáci
",-,-,4,4,49.06095 19.38534
Ružomberok,Sliače,obecný,"domáci
",-,-,2,2,49.06095 19.38534
Sabinov,Bertovce,obecný,"1 maď.
1 neznámy
","v obci
padol v boji pri obci
","6/1919
6/1919
",2,2,49.090245 20.7904
Sabinov,Brzovica nad Torysou,katolícky obecný,"domáci
",-,-,2,2,48.661644 17.53703
Sabinov,Hendrychovce,obecný,"neznámy
","padol v boji pri obci
","5/1919
",1,1,49.02226 21.00309
Sabinov,Jakuboviany,obecný,"neznámy
",-,-,1,1,48.531939 18.350378
Sabinov,Michaľany nad Torysou,obecný,"čes.
","tal. leg. padol v boji
pri obci
","6/1919
",1,1,48.190786 18.270465
Sabinov,Orlov,gréckokatolícky obecný,"neznámi
",-,"1914
",5,5,49.298105 20.881905
Sabinov,Ostroviany,obecný,"maď. boľ.
","padli v boji
","6/1919
",2,2,48.719978 22.163816
Sabinov,Pečeňovská Nová Ves,obecný,"slov.
","padol v boji pri obci
","6/1919
",1,1,49.05838 19.68322
Sabinov,Plaveč nad Popradom,obecný,"domáci
",-,-,1,1,48.510722 17.297664
Sabinov,Poloma,obecný,"domáci
",-,-,1,1,49.170529 20.818065
Sabinov,Sabinov,katolícky obecný,"15 čs.
14 maď. 
3 rum.
2 rus.
17 juh.
2 poľ.
3 neznámi
",-,"1914
",67,67,49.102778 21.097778
Sabinov,Terňa,katolícky obecný,"domáci
",-,-,4,4,49.129006 21.219365
Sabinov,Torysa,obecný,"domáci
rum.
",-,-,2,2,49.155198 20.884241
Sečovce,Čelovce,obecný,"domáci
",-,-,1,1,48.1926 19.136822
Sečovce,Dargov,obecný,"neznámy
",-,-,1,1,48.750187 21.561426
Sečovce,Dvorianky,obecný,"domáci
",-,-,1,1,48.726105 21.712704
Sečovce,Hardište,obecný,"poľ.
",-,-,1,1,48.49217 19.72273
Sečovce,Horovce,obecný,"čs.
",-,-,1,1,49.049377 18.25975
Sečovce,Hriadky,obecný,"domáci
",-,-,1,1,48.700724 21.710124
Sečovce,Kraviany,obecný,"domáci
",-,-,1,1,48.52963 19.445788
Sečovce,Lastovce,obecný,"čes.
","padol v boji v obci
","6/1919
",1,1,48.54204 21.635609
Sečovce,Michaľany,rusínsky obecný,"6 čs.
1 rak.
17 maď.
1 rus.
7 rum.
7 juh.
1 tur.
34 neznámi
",-,-,73,73,48.190786 18.270465
Sečovce,Michaľany,židovský,"poľ.
",-,-,1,1,48.190786 18.270465
Sečovce,Parchoviany,obecný,"neznámi
",-,-,2,2,48.811903 20.882427
Sečovce,Sečovce,obecný,"domáci
rum.
",-,-,4,4,48.700688 21.665986
Sečovce,Sečovce,židovský,"domáci
",-,-,1,1,48.700688 21.665986
Sečovce,Sirnek,gréckokatolícky obecný,"domáci
",-,-,1,1,48.412372 18.027947
Sečovce,Stankovce,obecný,"1 maď.
1 poľ.
",-,-,2,2,48.767366 21.659911
Sečovce,Trebišov,katolícky obecný starý,"7 čs.
4 poľ.
13 maď.
3 rak.
7 rum.
1 juh.
12 nez.
",-,"1914
",47,47,48.629722 21.719722
Sečovce,Tušice,obecný,"domáci
",-,-,2,2,48.728688 21.746786
Sečovce,Tušická N. Ves,obecný,"domáci
",-,-,1,1,48.71687 21.75173
Sečovce,Velaty,obecný,"1 čs.
2 maď.
1 poľ.
1 neznámy
","prestrelená hlava vo
Velatoch
","4/1919
",1,5,48.517894 21.661788
Sečovce,Veľká Bara,evanjelický obecný,"1 čs.
1 dom.
",-,-,2,2,48.424045 21.728523
Sečovce,Veľký Kazimír,obecný,"2 neznámi
","padli v boji s boľšev.
","1919
",1,2,48.533348 18.40481
Sečovce,Višňov,obecný,"domáci
",-,-,1,1,48.746818 21.675947
Sečovce,Vojčice,obecný,"čes.
",-,"1915
",1,1,48.680876 21.723464
Senica,Dojč,obecný,"domáci
",-,-,1,1,48.684531 17.25446
Senica,Dolina,evanjelický obecný,"domáci
",-,-,4,4,48.635022 17.996395
Senica,Hlboké,katolícky,"tal.
",-,-,2,2,48.63813 17.409263
Senica,Hlboké,evanjelický,"domáci
",-,-,4,4,48.63813 17.409263
Senica,Jablonica,obecný,"1 čes.
1 juh.
",-,-,2,2,48.598031 17.43776
Senica,Kunov,spoločný obecný,"domáci
",-,-,3,3,48.694437 17.396607
Senica,Osuské,katolícky,"domáci
",-,-,1,1,48.639377 17.451199
Senica,Prietrž,evanjelický,"domáci
",-,-,5,5,48.688097 17.451243
Senica,Rohov,katolícky obecný,"slov.
",-,-,1,1,48.731191 17.339038
Senica,Rybky,obecný,"domáci
",-,-,1,1,48.716621 17.335198
Senica,Senica,katolícky,"1 domáci
1 rus.
",-,-,2,2,48.676389 17.363889
Senica,Senica,evanjelický,"domáci
","1 zastrelený ako zradca
","7/11/1918
",2,2,48.676389 17.363889
Senica,Smolinské,obecný,"domáci
",-,-,2,2,48.683014 17.11009
Senica,Sobotište,katolícky,"domáci
",-,-,1,1,48.745494 17.404331
Senica,Sobotište,evanjelický obecný,"domáci
",-,-,4,4,48.745494 17.404331
Senica,Šaštín,obecný,"1 domáci
1 tal.
1 rum.
",-,-,3,3,48.636992 17.148493
Snina,Belá nad Cirochou,katolícky obecný,"neznámi
","padli v obci
","1915
",4,4,48.968036 22.113685
Snina,Dlhé nad Cirochou,obecný,"neznámi
","padli
","1915
",3,3,48.970861 22.059519
Snina,Hostovice,vojenský,-,-,"1915
",26,110,49.131465 22.127422
Snina,Parihuzovce,vojenský,"neznámi
","padli
","1915
",145,480,49.117162 22.202577
Snina,Pčoliné,vojenský,"neznámi
","padli
","1915
",26,26,49.064624 22.176978
Snina,Snina,katolícky,-,"padli
","3/1915
",267,267,48.9875 22.151944
Snina,Snina,-,"neznámi
",-,-,1,130,48.9875 22.151944
Snina,Snina,vojenský epidemický,"neznámi
",-,-,2,153,48.9875 22.151944
Snina,Klenová,gréckokatolícky obecný,"neznámy
rum.
",-,-,1,1,48.954062 22.320065
Snina,Kolbasov,vojenský,"neznámi
",-,"1915
",33,33,49.009526 22.372095
Snina,Kolonica,obecný,"neznámi
",-,-,9,33,48.948208 22.254033
Snina,Ladomírov,gréckokatolícky obecný,"neznámi
",-,-,4,35,48.923176 22.291137
Snina,Ostrožnica,vojenský,"neznámi
","padli v boji pri Ostružnici
","5/1915
",2,84,48.719978 22.163816
Snina,Prislop,vojenský obecný,"neznámi
",-,"1914
",3,81,49.043853 22.314867
Snina,Runina,vojenský obecný,"neznámi
",-,-,60,90,49.079089 22.407342
Snina,Ruský Hrabovec,gréckokatolícky obecný,"čes.
poľ.
","cholera
","1914
",2,2,48.851854 22.34996
Snina,Ruský Potok,vojenský štátny,"neznámi
","padli v okolí obce
",-,27,37,49.029213 22.413945
Snina,Smolník,vojenský,"neznámi
",-,-,17,124,49.1 22.283333
Snina,Starina,vojenský,"neznámi
",-,-,82,117,49.323394 20.825449
Snina,Topola,vojenský,"neznámi
",-,-,119,240,49.050871 22.362461
Snina,Ubla,gréckokatolícky obecný,"absolútne
neznámi
",-,-,4,41,48.9065 22.387259
Snina,Ulič,vojenský obecný,"neznámi
",-,-,61,71,48.961813 22.424209
Snina,Uličské Krivé,židovský súkromný,"1 poľ.
1 maď.
",-,-,2,2,49.000551 22.445087
Snina,Veľká Poľana,vojenský súkromný,"neznámi
",-,-,40,220,48.840324 21.030912
Snina,Zboj,vojenský štátny,"neznámi
asi
184 rus.
",-,-,115,203,49.04824 22.466413
Skalica,Brodské,obecný,"domáci
",-,-,5,5,48.695064 17.03125
Skalica,Holíč,katolícky obecný,"4 domáci
1 poľ.
1 rak.
1 neznámy
",-,-,7,7,48.808256 17.162816
Skalica,Holíč,evanjelický,"domáci
",-,-,2,2,48.808256 17.162816
Skalica,Holíč,židovský,"domáci
",-,-,2,2,48.808256 17.162816
Skalica,Kúty,katolícky obecný,"domáci
",-,"1919
",16,16,48.659495 17.011081
Skalica,Modrý háj,obecný,"domáci
",-,-,1,1,48.24047 19.33459
Skalica,Skalica,katolícky,"6 domáci
3 slov.
1 rus
2 poľ.
",-,-,12,12,48.845208 17.227913
Skalica,Skalica,evanjelický,"domáci
",-,-,1,1,48.845208 17.227913
Skalica,Trnovec,katolícky obecný,"domáci
",-,-,1,1,48.794629 17.191631
Skalica,Vlčkovany,obecný,"slov.
",-,-,1,1,48.840324 21.030912
Sobrance,Bežovce,nový obecný,"čes.
",-,-,1,1,48.64765 22.139306
Sobrance,Fekišovce,katolícky obecný,"čes.
","zranený v boji
","6/1919
",1,1,48.774404 22.091721
Sobrance,Hnojné,obecný,"juh.
",-,-,1,1,48.781679 22.066597
Sobrance,Horňa,obecný,"neznámy
",-,-,1,1,48.762948 22.208974
Sobrance,Choňkovce,obecný,"domáci
",-,-,1,1,48.799888 22.259629
Sobrance,Komárovce,obecný,"domáci
",-,-,4,4,48.571075 21.111852
Sobrance,Koňuš,spoločný obecný,"domáci
",-,-,1,1,48.774612 22.303796
Sobrance,Koňuš,židovský obecný,"domáci
",-,-,1,1,48.774612 22.303796
Sobrance,Nižnia Rybnica,katolícky obecný,"poľ.
",-,-,3,3,48.82139 22.17676
Sobrance,Orechová,gréckokatolícky obecný,"čs.
",-,-,2,2,48.708798 22.227424
Sobrance,Porúbka,gréckokatolícky obecný,"domáci
",-,-,2,2,49.151592 18.728189
Sobrance,Sentuš,evanjelický obecný,"domáci
rus.
",-,-,2,2,48.683333 22.133333
Sobrance,Sobrance,obecný,"čes.
rus.
",-,-,2,2,48.745833 22.179722
Sobrance,Vojnatina,gréckokatolícky obecný,"domáci
",-,-,2,2,48.73665 22.237437
Spišská Stará Ves,Spišská Stará Ves,-,"2 čes.
1 tal.
2 poľ.
2 juh.
",-,-,5,5,49.383146 20.359814
Spišská Nová Ves,Hnilčík,katolícky obecný,"juh.
",-,-,1,1,48.849743 20.549408
Spišská Nová Ves,Hnilčík,obecný,"neznámi
",-,-,2,2,48.849743 20.549408
Spišská Nová Ves,Hnilec,obecný,"neznámi
","padli v boji
","6/1919
",2,2,48.824374 20.496755
Spišská Nová Ves,Hrabušice,obecný,"slov.
poľ.
",-,-,2,2,48.95704 20.385408
Spišská Nová Ves,Markušovce,obecný,"2 rum.
1poľ.
","cholera
","1914
",3,3,48.901535 20.629031
Spišská Nová Ves,Olcnava,katolícky obecný,"domáci
",-,-,1,1,48.910782 20.742499
Spišská Nová Ves,Ráztoky,katolícky obecný,"2 nez. 
1poľ.
",-,-,3,3,49.39932 21.48521
Spišská Nová Ves,Smižany,obecný,"domáci
",-,-,1,1,48.925912 20.487251
Spišská Nová Ves,Spišské Vlachy,katolícky obecný,"1 domáci
1 maď.
1 poľ.
2 juh.
1neznámy
",-,-,6,6,48.947945 20.797257
Spišská Nová Ves,Vondrišel,obecný,"neznámi
",-,-,2,2,48.841413 20.620065
Stropkov,Bodružal,obecný,"neznámi
",-,-,1,400,49.351934 21.707716
Stropkov,Breznica,vojenský,"neznámi
",-,-,35,35,49.155577 21.66333
Stropkov,Breznička,vojenský obecný,"neznámi
",-,-,22,22,48.415591 19.734405
Stropkov,Cernina,vojenský súkromný,"30 poľ.
18 rum.
1 juh.
277 neznámi
",-,"1915
",44,44,49.054804 21.821026
